Twitter,State,Party,Type,Name,twitter_display_name
RepMarkTakano,CA,Democrat,Representative,Mark Takano,Mark Takano
KenCalvert,CA,Republican,Representative,Ken Calvert,Ken Calvert
MaxineWaters,CA,Democrat,Representative,Maxine Waters,Maxine Waters
Nanette4CA,CA,Democrat,Representative,Nanette Barragan,Nanette Barragán
RepKatiePorter,CA,Democrat,Representative,Katie Porter,Rep. Katie Porter
RepLouCorrea,CA,Democrat,Representative,Lou Correa,Rep. Lou Correa
RepLowenthal,CA,Democrat,Representative,Alan Lowenthal,Rep. Alan Lowenthal
RepHarley,CA,Democrat,Representative,Harley Rouda,Rep. Harley Rouda
RepMikeLevin,CA,Democrat,Representative,Mike Levin,Rep. Mike Levin
RepJuanVargas,CA,Democrat,Representative,Juan Vargas,Rep. Juan Vargas
RepScottPeters,CA,Democrat,Representative,Scott Peters,Rep. Scott Peters
RepSusanDavis,CA,Democrat,Representative,Susan Davis,Rep. Susan Davis
MichaelBennet,CO,Democrat,Senator,Michael Bennet,Michael Bennet
SenCoryGardner,CO,Republican,Senator,Cory Gardner,Cory Gardner
RepDianaDeGette,CO,Democrat,Representative,Diana DeGette,Rep. Diana DeGette
RepJoeNeguse,CO,Democrat,Representative,Joe Neguse,Rep. Joe Neguse
RepTipton,CO,Republican,Representative,Scott Tipton,Rep. Scott Tipton
RepKenBuck,CO,Republican,Representative,Ken Buck,Congressman Ken Buck
RepDLamborn,CO,Republican,Representative,Doug Lamborn,Rep. Doug Lamborn
RepJasonCrow,CO,Democrat,Representative,Jason Crow,Rep. Jason Crow
RepPerlmutter,CO,Democrat,Representative,Ed Perlmutter,Rep. Ed Perlmutter
ChrisMurphyCT,CT,Democrat,Senator,Chris Murphy,Chris Murphy
SenBlumenthal,CT,Democrat,Senator,Richard Blumenthal,Richard Blumenthal
RepJohnLarson,CT,Democrat,Representative,John B. Larson,Rep. John Larson
RepJoeCourtney,CT,Democrat,Representative,Joe Courtney,Rep. Joe Courtney
rosadelauro,CT,Democrat,Representative,Rosa L. DeLauro,Rosa DeLauro
jahimes,CT,Democrat,Representative,Jim Himes,Jim Himes
RepJahanaHayes,CT,Democrat,Representative,Jahana Hayes,Jahana Hayes
SenCoonsOffice,DE,Democrat,Senator,Chris Coons,Office of Sen. Coons
SenatorCarper,DE,Democrat,Senator,Tom Carper,Senator Tom Carper
LisaBRochester,DE,Democrat,Representative,Lisa Blunt Rochester,Lisa Blunt Rochester
EleanorNorton,DC,Democrat,Representative,Eleanor Holmes Norton,Eleanor #DCStatehood Holmes Norton
marcorubio,FL,Republican,Senator,Marco Rubio,Marco Rubio
ScottforFlorida,FL,Republican,Senator,Rick Scott,Rick Scott
MattGaetz,FL,Republican,Representative,Matt Gaetz,Matt Gaetz
DrNealDunnFL2,FL,Republican,Representative,Neal Dunn,Dr. Neal Dunn
RepTedYoho,FL,Republican,Representative,Ted Yoho,Ted Yoho
JRutherfordFL,FL,Republican,Representative,John Rutherford,John Rutherford
AlLawsonJr,FL,Democrat,Representative,Al Lawson,Al Lawson
RepMichaelWaltz,FL,Republican,Representative,Michael Waltz,Rep. Michael Waltz
SMurphyCongress,FL,Democrat,Representative,Stephanie Murphy,Stephanie Murphy
congbillposey,FL,Republican,Representative,Bill Posey,Bill Posey
RepDarrenSoto,FL,Democrat,Representative,Darren Soto,US Rep. Darren Soto
Val_Demings,FL,Democrat,Representative,Val Demings,Val Demings
RepWebster,FL,Republican,Representative,Daniel Webster,Daniel Webster
RepGusBilirakis,FL,Republican,Representative,Gus M. Bilirakis,Gus Bilirakis
CharlieCrist,FL,Democrat,Representative,Charlie Crist,Charlie Crist
USRepKCastor,FL,Democrat,Representative,Kathy Castor,US Rep Kathy Castor
RepRossSpano,FL,Republican,Representative,Ross Spano,Congressman Ross Spano
VernBuchanan,FL,Republican,Representative,Vern Buchanan,Rep. Vern Buchanan
RepGregSteube,FL,Republican,Representative,W. Gregory Steube,Congressman Greg Steube
BrianMastFL,FL,Republican,Representative,Brian Mast,Brian Mast
FrancisRooney,FL,Republican,Representative,Francis Rooney,Francis Rooney
RepHastingsFL,FL,Democrat,Representative,Alcee L. Hastings,Alcee L. Hastings
RepLoisFrankel,FL,Democrat,Representative,Lois Frankel,Rep. Lois Frankel
RepTedDeutch,FL,Democrat,Representative,Ted Deutch,Rep. Ted Deutch
RepDWStweets,FL,Democrat,Representative,Debbie Wasserman Schultz,Rep. Debbie Wasserman Schultz
RepWilson,FL,Democrat,Representative,Frederica Wilson,Rep Frederica Wilson
MarioDB,FL,Republican,Representative,Mario Diaz-Balart,Mario Diaz-Balart
RepDMP,FL,Democrat,Representative,Debbie Mucarsel-Powell,Rep. Debbie Mucarsel-Powell
RepShalala,FL,Democrat,Representative,Donna E. Shalala,Rep. Donna E. Shalala
sendavidperdue,GA,Republican,Senator,David Perdue,David Perdue
SenatorLoeffler,GA,Republican,Senator,Kelly Loeffler,Senator Kelly Loeffler
RepBuddyCarter,GA,Republican,Representative,Buddy Carter,Buddy Carter
SanfordBishop,GA,Democrat,Representative,Sanford D. Bishop Jr.,"Sanford Bishop, Jr."
DrewFergusonGA,GA,Republican,Representative,Drew Ferguson,Drew Ferguson
RepHankJohnson,GA,Democrat,Representative,Henry C. “Hank” Jr. Johnson,Rep. Hank Johnson
repjohnlewis,GA,Democrat,Representative,John Lewis,John Lewis
RepLucyMcBath,GA,Democrat,Representative,Lucy McBath,Rep. Lucy McBath
RepRobWoodall,GA,Republican,Representative,Robert Woodall,Rob Woodall
AustinScottGA08,GA,Republican,Representative,Austin Scott,Rep. Austin Scott
RepDougCollins,GA,Republican,Representative,Doug Collins,Rep. Doug Collins
CongressmanHice,GA,Republican,Representative,Jody Hice,Rep. Jody Hice
RepLoudermilk,GA,Republican,Representative,Barry Loudermilk,Rep. Barry Loudermilk
RepRickAllen,GA,Republican,Representative,Rick Allen,Rick W. Allen
repdavidscott,GA,Democrat,Representative,David Scott,David Scott
RepTomGraves,GA,Republican,Representative,Tom Graves,Tom Graves
GuamCongressman,GU,Democrat,Representative,Michael F.Q. San Nicolas,Michael F.Q. San Nicolas
SenBrianSchatz,HI,Democrat,Senator,Brian Schatz,Senator Brian Schatz
maziehirono,HI,Democrat,Senator,Mazie Hirono,Senator Mazie Hirono
RepEdCase,HI,Democrat,Representative,Ed Case,Rep. Ed Case
TulsiPress,HI,Democrat,Representative,Tulsi Gabbard,Rep. Tulsi Gabbard
SenatorRisch,ID,Republican,Senator,Jim Risch,Jim Risch
MikeCrapo,ID,Republican,Senator,Mike Crapo,Senator Mike Crapo
RepRussFulcher,ID,Republican,Representative,Russ Fulcher,Rep. Russ Fulcher
CongMikeSimpson,ID,Republican,Representative,Mike Simpson,Cong. Mike Simpson
SenDuckworth,IL,Democrat,Senator,Tammy Duckwort,Tammy Duckworth
SenatorDurbin,IL,Democrat,Senator,Richard Durbin,Senator Dick Durbin
RepBobbyRush,IL,Democrat,Representative,Bobby L. Rush,Bobby L. Rush
RepRobinKelly,IL,Democrat,Representative,Robin Kelly,Robin Kelly
RepLipinski,IL,Democrat,Representative,Daniel Lipinski,Rep. Daniel Lipinski
RepChuyGarcia,IL,Democrat,Representative,Jesus “Chuy” Garcia,Congressman Chuy García
RepMikeQuigley,IL,Democrat,Representative,Mike Quigley,Mike Quigley
RepCasten,IL,Democrat,Representative,Sean Casten,Rep. Sean Casten
